|Material|Texto breve                             | Item|Doc.compra|Preço líq.|
|7624    |RETEN 30MM 72MM 10MM NBR                | 2010|4600176606|     8,55 |
|480126  |RETEN 40MM 52MM 7MM NBR                 | 2030|4600176606|     4,74 |
|816888  |RETEN 85MM 130MM 12MM NBR               | 2070|4600176606|    16,05 |
|143332  |RETEN 80MM 100MM 13MM NBR               | 2080|4600176606|    11,64 |
|658120  |RETEN 17MM 30MM 7MM NBR                 | 2120|4600176606|     3,68 |
|143014  |RETEN 190MM 220MM 14,8MM NBR            | 2140|4600176606|    30,19 |
|817072  |RETEN 70MM 110MM 12MM NBR               | 2150|4600176606|    12,62 |
|30235   |ANEL RETENCAO EIXO 40MM DIN-471         | 2160|4600176606|     0,56 |
|14132   |TAMPAO 80X12MM AR/AGUA NBR              | 2190|4600176606|    15,19 |
|81493   |RETEN 45MM 72MM 9,5MM NBR               | 2220|4600176606|     7,37 |
|81507   |RETEN 27MM 42MM 10MM NBR                | 2280|4600176606|     4,47 |
|168963  |RETEN 42MM 62MM 7MM NBR                 | 2290|4600176606|     6,31 |
|73830   |RETEN 35MM 56MM 10MM NBR                | 2300|4600176606|     6,71 |
|41613   |RETENTOR 31,7MM 50,8MM 11,1MM NBR       | 2310|4600176606|     5,51 |
|4861    |RETEN 30MM 50MM 11MM NBR                | 2320|4600176606|     5,27 |
|136329  |RETEN 40MM 90MM 10MM NBR                | 2340|4600176606|     9,05 |
|866301  |RETEN 30MM 52MM 7MM NBR                 | 2350|4600176606|     3,68 |
|35744   |ANEL RETENCAO EIXO 45MM DIN-471         | 2360|4600176606|     0,73 |
|791156  |RETEN 75MM 100MM 12MM NBR               | 2370|4600176606|     9,99 |
|3328    |RETENTOR 120MM 140,15MM 13MM ACM        | 2390|4600176606|    21,15 |
|837553  |RETEN 95MM 130MM 13MM NBR               | 2410|4600176606|    14,46 |
|613529  |ROLAMENTO RIGIDO ESFERAS 6206-2RS-NR    | 2430|4600176606|    28,77 |
|849576  |RETEN 70MM 110MM 8MM NBR                | 2440|4600176606|    11,42 |
